Topic,ID,Segment,IdeaUnit,label
Physics,6260218,1,Laser beams are like aligned soldiers and flashlights are like crowd of commuters,0
Physics,6260218,1,"The light??s specificity, distance, and consistency make lasers precise, powerful beams of energy",1
Physics,6260218,2,Creating a laser requires atoms with electrons,1
Physics,6260218,2,"A load of atoms could be solid, liquid, or gas, and is called the medium",0
Physics,6260218,2,"To create a laser, you also need something to stimulate the medium",1
Physics,6260218,2,A flash tube emits light to stimulate medium,0
Physics,6260218,2,Ruby crystal can serve as a red laser's medium,0
Physics,6260218,2,Ruby crystal absorbs energy from flash tube (absorption),0
Physics,6260218,2,The electrons quickly return to their original energy level called ground state,0
Physics,6260218,2,"Electrons release energy when revert to ground state, which is called spontaneous emission",0
Physics,6260218,2,"Traveling photons can stimulate other already-excited atoms, making them emit a photon",0
Physics,6260218,2,Stimulated emission doubles the light,0
Physics,6260218,2,"Radio waves, X-rays and infrared light, lasers make electromagnetic radiation",0
Physics,6260218,2,Radiation is electrons giving off absorbed energy,0
Physics,6260218,2,Shifting an electron up an energy level is absorption,0
Physics,6260218,2,Spontaneous emission of radiation is the atom giving off light or emitting radiation,0
Physics,6260218,2,"Typically, a medium has more electrons in their ground state than their excited state",0
Physics,6260218,2, The meta-stable state is a short-term excited condition,0
Physics,6260218,2,We amplify light using stimulated emission of radiation,0
Physics,6260218,2,LASER stands for Light Amplification by Stimulated Emission of Radiation,0
Physics,6260218,3,Quantum is the smallest quantity of energy,1
Physics,6260218,3,"To make an electron move to a higher level, a precise amount of energy should be fed",1
Physics,6260218,3,"When lasers emits energy, they create a lot of photons, identical in energy, frequency, and wavelength",0
Physics,6260218,3,Frequency and wavelength determine the color of the light,0
Physics,6260218,3,Laser light is monochromatic,0
Physics,6260218,3,"There are five laser types: solid, gas, liquid, semiconductor, and fiber",1
Physics,6260218,3,Doping is the process of replacing solid atoms with impure ones,0
Physics,6260218,3,Gas lasers produce continuous beams,1
Physics,6260218,3,Gas lasers use noble gas or CO2 as the medium,0
Physics,6260218,3,CO2 lasers are used in industrial cutting and engraving,0
Physics,6260218,3,Liquid dye lasers can make lasers with many different colors,1
Physics,6260218,3,"Solid, liquid, and gas lasers require expensive equipment",0
Physics,6260218,3,Semiconductors are small and cheap,0
Physics,6260218,3,"Semiconductor lasers are found in CD players, printers, and barcode scanners",0
Physics,6260218,3,A fiber optic is as thin as a human hair,0
Physics,6260218,3,Lasers can send signals without data loss,0
Physics,6260218,3,Data sent over a fiber optic cable is not vulnerable to electrical interference,0
Physics,6260218,3,Using fiber optic cable results in fewer signal dropouts,0
Physics,6260218,4,The James Bond movie Goldfinger (1964) introduced people to lasers,1
Physics,6260218,4,CO2 lasers are used for cutting fabrics,1
Physics,6260218,4,Lasers can remove skin discoloration or tumors,1
Physics,6260218,4,"LASIK uses lasers to reshape the cornea, which is an irreversible procedure",0
Physics,6260218,4,Reversible LASIK places a special contact lens on the cornea,0
Physics,6260218,4,Barcode scanners utilize lasers for data reading,0
Physics,6260218,4,DVD players utilize lasers for data reading,0
Physics,6260218,4,Lasers are also used to send and receive signals for the internet,0
Physics,6260218,4,One of the biggest users of lasers is the military,0
Physics,6260218,4,Military uses guided weapons and missiles,0
Physics,6260218,4,"Strategic Defense Initiative (SDI) is commonly known as the ""Star Wars program",0
Physics,6260218,4,SDI planned to use nuclear reactor to power lasers in space,1
Physics,6260218,4,SDI was never implemented,0
Physics,6260218,4,"In 2014, the US Navy tested a Laser Weapon System in the Persian Gulf",0
Physics,6260218,4,"In low energy state, the laser can be used to cripple the sensors of a target",0
Physics,6260218,4,"In high energy state, the laser can destroy the target altogether",0
Physics,6260218,4,Lasers are cheaper than conventional missiles because the only cost is the energy it takes to make the laser,0
Physics,6260218,4,Lasers are cheaper because they do not require hardware missiles and storage,0
Statistics,6260216,1,Statistics involves collecting and analyzing data.,1
Statistics,6260216,1,The population is the entire collection of objects or individuals about which information is desired. ,1
Statistics,6260216,1,"A population can be broad, like all people in a country.",0
Statistics,6260216,1,"A population can be specific, like college students.",0
Statistics,6260216,1,"Factors like births, deaths, immigration, or emigration continuously change the population.",0
Statistics,6260216,1,Researchers use a sample rather than a population ,0
Statistics,6260216,1,It is often not possible to collect a true population. ,1
Statistics,6260216,1,A sample is a subset of the population. ,1
Statistics,6260216,1,Capital or uppercase N refers to the population.,1
Statistics,6260216,1,Lowercase n refers to the sample.,1
Statistics,6260216,1,Finite population statistics is collecting a sample using a random small group of people.,1
Statistics,6260216,1,A good sample looks like the population.,1
Statistics,6260216,1,"There are two types of statistics, descriptive statistics and inferential statistics..",1
Statistics,6260216,1,"Descriptive statistics describes data, like a summary of data.",1
Statistics,6260216,1,"Examples of descriptive statistics are averages, maximum, and minimum.",0
Statistics,6260216,1,Inferential statistics are used to infer or predict the data we don??t have.,1
Statistics,6260216,1,"The weather stations are samples, and the weather in the entire city is a population.",0
Statistics,6260216,1,We draw inferences about the weather in places without weather stations.,0
Statistics,6260216,2,"Descriptive statistics is about graphing, describing, and characterizing.",1
Statistics,6260216,2,Descriptive statistics tell you about the sample.,1
Statistics,6260216,2,Inferential statistics tell you about the population.,1
Statistics,6260216,2,Random sampling is the best way to collect data. ,0
Statistics,6260216,2,Random sampling means that everyone in the population is equally likely to be picked.,1
Statistics,6260216,2,"Data collection can be done two ways, via experiments or direct observation.",1
Statistics,6260216,2,Courses about experiments are called research methods.,0
Statistics,6260216,2,A survey is the most common type of a direct observation.,1
Statistics,6260216,2,"There are three types of observational studies cross-sectional, retrospective, and prospective studies.",1
Statistics,6260216,2,The most common type of observational study is a cross-sectional study. ,0
Statistics,6260216,2,Cross-sectional studies take a measurement at a given time and look at the data.,1
Statistics,6260216,2,Cross-sectional studies stop the time.,0
Statistics,6260216,2,Retrospective studies look at existing data that has already been collected.,0
Statistics,6260216,2,Retrospective studies go back in time.,1
Statistics,6260216,2,Robert Fogel conducted a retrospective study on civil war medical records.,0
Statistics,6260216,2,A lot of retrospective studies are not done by the people who collected the data.,0
Statistics,6260216,2,Prospective studies go forward in time.,1
Statistics,6260216,2,Economist call prospective studies longitudinal studies.,1
Statistics,6260216,2,The person who collects data in a prospective study is usually the person who designed the study.,1
Statistics,6260216,3,"In observational studies, you report what's happening without influencing the activity.",1
Statistics,6260216,3,The conclusions might be wrong if there is a confounding variable. ,0
Statistics,6260216,3,The researchers often forget to collect data regarding confounding variable. ,1
Statistics,6260216,3,Observational studies cannot show causation. ,1
Statistics,6260216,3,It is impossible to collect all possible variables in observational studies.,0
Statistics,6260216,3,Confounding or lurking variables are hidden variables that affect the results.,1
Statistics,6260216,3,We cannot conclude that smoking causes lung cancer based on observational studies.,0
Statistics,6260216,3,"Confounding variables, such as bad health habit, can cause both smoking behavior and lung cancer.",0
Statistics,6260216,3,"The more firefighters at a scene, the more fire damage observed.",0
Statistics,6260216,3,Size of the fire can be a confounding variable.,0
Statistics,6260216,3,The foot size of kids correlates with intelligence.,0
Statistics,6260216,3,Age of kids can be a confounding variable.,0
Statistics,6260216,3,"In an experimental study, researchers manipulate variables.",1
Statistics,6260216,3,"To know whether female crickets choose their mates based on health, you should manipulate the health of male crickets.",0
Statistics,6260216,3,An experimental study can draw a causation.,0
Statistics,6260216,3,Randomization ensures that all confounding variables are equal across groups.,1
Statistics,6260216,3,"Randomization is much like ""duct tape in statistics.""",0
Statistics,6260216,3, Ronald Fished is considered the father of modern day statistics and experimental design.,1
Statistics,6260216,4,"Experiments can be expensive, difficult to run, and unethical.",1
Statistics,6260216,4,"If causality is not the focus, you do not need to run an experiment.",1
Statistics,6260216,4,We cannot conduct an experiment about smoking and lung cancer because of ethics issue.,0
Statistics,6260216,4,Vaccine trials differ from smoking studies because there is no intention to cause harm.,0
Statistics,6260216,4,Observational studies are fraught with issues. ,0
Statistics,6260216,4,Simple random sampling (SRS) means that every member of the sample is equally likely to be picked.,1
Statistics,6260216,4,"In convenience sampling, sampling is based on ease of access. ",1
Statistics,6260216,4,"In stratified sampling, participants are selected from subgroups of the population.",1
Statistics,6260216,4,A sample should be unbiased.,1
Statistics,6260216,4,A biased sample can overly represent one group.,0
Statistics,6260216,4,The results of a survey in a shopping mall in the middle of a weekday cannot be generalized to those who work during the weekdays.,0
Statistics,6260216,4,"When conducting surveys, think about who you can generalize those results to.",1
Statistics,6260216,4,Over-representation or under-representation can produce a selection bias.,1
Statistics,6260216,4,Nonresponse bias occurs when participants ignore or refuse to answer a survey.,1
Statistics,6260216,4,Response bias can arise if the researcher asks misleading questions.,1
